"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,  "Avg_Massflow"  ,    "Avg_Mach"    ,    "Avg_Temp"    ,    "Avg_Press"   ,   "Avg_Density"  ,  "Avg_Enthalpy"  ,  "Avg_NormalVel" ,   "Uniformity"   ,"Secondary_Strength","Momentum_Distortion","Secondary_Over_Uniformity",  "Avg_TotalTemp" , "Avg_TotalPress" ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,          59,      -4.416885971,      -1.436512729,      -1.567749669,       1.039042255,      -7.294249039,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,     0.03428238427,       0.615016324,                 0,                 0,                 0,       1.046972862,    0.002047934037,      0.6159676669,                 0,       17.93971852,   0.0001250203219
          0,           0,          60,      -4.485874183,      -1.428159245,       -1.54963651,      0.9690560175,      -7.285234927,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,     0.03358195257,      0.6408634691,                 0,                 0,                 0,       1.035194414,   -4.27280335e-06,      0.6417427316,                 0,       19.08356781,   0.0001250203219
          0,           0,          61,      -4.655452269,      -1.417287286,      -1.534834708,       0.801877881,       -7.28073587,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,     0.03332859944,      0.6444449223,                 0,                 0,                 0,       1.027417073,  -0.0004447175005,       0.645306017,                 0,       19.33609372,   0.0001250203219
          0,           0,          62,      -4.699006795,      -1.418985341,       -1.53501992,      0.7515366969,      -7.275486484,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,     0.03261474753,      0.6399501426,                 0,                 0,                 0,        0.99546898,  -0.0009223525078,      0.6407800371,                 0,       19.62149613,   0.0001250203219
          0,           0,          63,      -4.748378573,      -1.420811293,      -1.540409635,      0.7072256534,      -7.266159936,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,     0.03042461144,      0.5940130589,                 0,                 0,                 0,      0.8833297061,  -0.0007053258897,      0.5947912858,                 0,        19.5240968,   0.0001250203219
          0,           0,          64,      -4.682646767,       -1.42766678,      -1.568423799,       0.790118395,      -7.261584235,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,     0.02983048417,      0.5801981654,                 0,                 0,                 0,      0.8521878876,  -0.0005756232672,      0.5809642309,                 0,       19.44984071,   0.0001250203219
          0,           0,          65,      -4.650652926,       -1.43366385,      -1.578507033,      0.8165205749,       -7.25612231,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,      0.0285651332,      0.5450676653,                 0,                 0,                 0,        0.78189696,  -6.518002973e-07,      0.5458156526,                 0,       19.08157268,   0.0001250203219
          0,           0,          66,      -4.593372689,      -1.440904383,      -1.597937836,      0.8765665614,      -7.246509594,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,     0.02590744083,       0.460361253,                 0,                 0,                 0,      0.6306363214,    0.001778489185,      0.4610862346,                 0,       17.76946075,   0.0001250203219
          0,           0,          67,      -4.540694685,      -1.446633918,      -1.624153584,      0.9338975096,      -7.241928011,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,     0.02524596665,      0.4382594897,                 0,                 0,                 0,      0.5922050283,    0.002274638452,      0.4389801421,                 0,       17.35958444,   0.0001250203219
          0,           0,          68,      -4.532556573,      -1.451677026,      -1.629652043,      0.9383574588,      -7.236402113,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,        0.02400258,      0.3931132513,                 0,                 0,                 0,      0.5170781945,    0.003395727383,      0.3938307012,                 0,       16.37795817,   0.0001250203219
